query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
lp_0013,220668.lp_0013,3.44E-95,278,"COG0359@1|root,COG0359@2|Bacteria,1V6QG@1239|Firmicutes,4HIKJ@91061|Bacilli,3F68P@33958|Lactobacillaceae",2|Bacteria,J,Binds to the 23S rRNA,rplI,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016020,GO:0019538,GO:0019843,GO:0022625,GO:0022626,GO:0030312,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0070180,GO:0071704,GO:0071944,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02939,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,"Ribosomal_L9_C,Ribosomal_L9_N"
lp_0014,220668.lp_0014,8.77e-317,866,"COG0305@1|root,COG0305@2|Bacteria,1TPCT@1239|Firmicutes,4H9Y8@91061|Bacilli,3F4MW@33958|Lactobacillaceae",2|Bacteria,L,Participates in initiation and elongation during chromosome replication,dnaB,"GO:0003674,GO:0003678,GO:0003824,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006268,GO:0006725,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0032392,GO:0032508,GO:0034641,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0051276,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0140097,GO:1901360,GO:1901576",3.6.4.12,ko:K02314,"ko03030,ko04112,map03030,map04112",-,-,-,"ko00000,ko00001,ko01000,ko03032",-,-,-,"DnaB,DnaB_C"
lp_0015,220668.lp_0015,1.42E-288,788,"COG0477@1|root,COG2814@2|Bacteria,1TPJ6@1239|Firmicutes,4HAGJ@91061|Bacilli,3F4F9@33958|Lactobacillaceae",2|Bacteria,EGP,Major Facilitator,yttB,-,-,-,-,-,-,-,-,-,-,-,MFS_1
lp_0016,220668.lp_0016,5.21E-183,509,"COG0263@1|root,COG0263@2|Bacteria,1TPG6@1239|Firmicutes,4HA9B@91061|Bacilli,3F4E1@33958|Lactobacillaceae",2|Bacteria,F,Catalyzes the transfer of a phosphate group to glutamate to form L-glutamate 5-phosphate,proB,"GO:0003674,GO:0003824,GO:0004349,GO:0004350,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006560,GO:0006561,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016491,GO:0016620,GO:0016740,GO:0016772,GO:0016774,GO:0016903,GO:0018130,GO:0019202,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0055114,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",2.7.2.11,ko:K00931,"ko00330,ko00332,ko01100,ko01130,ko01230,map00330,map00332,map01100,map01130,map01230",M00015,R00239,"RC00002,RC00043","ko00000,ko00001,ko00002,ko01000",-,-,-,"AA_kinase,PUA"
lp_0017,220668.lp_0017,3.25E-292,798,"COG0014@1|root,COG0014@2|Bacteria,1TQ9V@1239|Firmicutes,4HB7B@91061|Bacilli,3F3W7@33958|Lactobacillaceae",2|Bacteria,E,Catalyzes the NADPH-dependent reduction of L-glutamate 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5- carboxylate,proA,"GO:0003674,GO:0003824,GO:0004350,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006560,GO:0006561,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016491,GO:0016620,GO:0016903,GO:0017144,GO:0018130,GO:0019752,GO:0042802,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0055114,GO:0055129,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",1.2.1.41,ko:K00147,"ko00330,ko00332,ko01100,ko01110,ko01130,ko01230,map00330,map00332,map01100,map01110,map01130,map01230",M00015,R03313,RC00684,"ko00000,ko00001,ko00002,ko01000",-,-,"iB21_1397.B21_00243,iECBD_1354.ECBD_3376,iECB_1328.ECB_00240,iECD_1391.ECD_00240,iLJ478.TM0293,iYL1228.KPN_00280,iYO844.BSU13130",Aldedh
lp_0018,220668.lp_0018,0,979,"COG4166@1|root,COG4166@2|Bacteria,1TNYQ@1239|Firmicutes,4HAMK@91061|Bacilli,3F3JE@33958|Lactobacillaceae",2|Bacteria,E,"ABC transporter, substratebinding protein",oppA,-,-,"ko:K02035,ko:K15580","ko01501,ko02010,ko02024,map01501,map02010,map02024","M00239,M00439",-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.5,3.A.1.5.1,3.A.1.5.18,3.A.1.5.19,3.A.1.5.25",-,-,SBP_bac_5
lp_0020,220668.lp_0020,0,1321,"COG0296@1|root,COG0296@2|Bacteria,1TP4M@1239|Firmicutes,4HAPM@91061|Bacilli,3F4KT@33958|Lactobacillaceae",2|Bacteria,G,"Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position",glgB,"GO:0000271,GO:0003674,GO:0003824,GO:0003844,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0005975,GO:0005976,GO:0005977,GO:0005978,GO:0006073,GO:0006091,GO:0006112,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009987,GO:0015980,GO:0016020,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0033554,GO:0033692,GO:0034637,GO:0034645,GO:0040007,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051716,GO:0055114,GO:0071704,GO:0071944,GO:1901576","2.4.1.18,3.2.1.141,3.2.1.20","ko:K00700,ko:K01187,ko:K01236,ko:K17734","ko00052,ko00500,ko01100,ko01110,map00052,map00500,map01100,map01110",M00565,"R00028,R00801,R00802,R02110,R06087,R06088,R09995,R11256","RC00028,RC00049,RC00077","ko00000,ko00001,ko00002,ko01000,ko01002,ko04147",-,"CBM48,GH13,GH31","iAPECO1_1312.APECO1_3025,iECNA114_1301.ECNA114_3542,iECOK1_1307.ECOK1_3857,iECS88_1305.ECS88_3830,iECSF_1327.ECSF_3253,iJN678.glgB,iLF82_1304.LF82_0837,iNRG857_1313.NRG857_17030,iUTI89_1310.UTI89_C3941","Alpha-amylase,Alpha-amylase_C,CBM_48"
lp_0021,220668.lp_0021,6.65E-282,769,"COG0448@1|root,COG0448@2|Bacteria,1TNZW@1239|Firmicutes,4HAZX@91061|Bacilli,3F4IA@33958|Lactobacillaceae",2|Bacteria,H,"Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans",glgC,"GO:0000271,GO:0003674,GO:0003824,GO:0005975,GO:0005976,GO:0005977,GO:0005978,GO:0006073,GO:0006091,GO:0006112,GO:0008150,GO:0008152,GO:0008878,GO:0009058,GO:0009059,GO:0009250,GO:0009987,GO:0015980,GO:0016051,GO:0016740,GO:0016772,GO:0016779,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0055114,GO:0070566,GO:0071704,GO:1901576",2.7.7.27,ko:K00975,"ko00500,ko00520,ko01100,ko01110,ko02026,map00500,map00520,map01100,map01110,map02026",M00565,R00948,RC00002,"ko00000,ko00001,ko00002,ko01000",-,-,-,"Hexapep,NTP_transferase"
lp_0022,220668.lp_0022,3.49E-269,738,"COG0448@1|root,COG0448@2|Bacteria,1TPZ3@1239|Firmicutes,4H9UQ@91061|Bacilli,3F58E@33958|Lactobacillaceae",2|Bacteria,G,Nucleotidyl transferase,glgD,-,"2.4.1.21,2.7.7.27","ko:K00703,ko:K00975","ko00500,ko00520,ko01100,ko01110,ko02026,map00500,map00520,map01100,map01110,map02026",M00565,"R00948,R02421","RC00002,RC00005","ko00000,ko00001,ko00002,ko01000,ko01003",-,GT5,-,"Hexapep,NTP_transferase"
lp_0023,220668.lp_0023,0,970,"COG0297@1|root,COG0297@2|Bacteria,1TQ4M@1239|Firmicutes,4HAVA@91061|Bacilli,3F3PP@33958|Lactobacillaceae",2|Bacteria,F,"Synthesizes alpha-1,4-glucan chains using ADP-glucose",glgA,"GO:0000271,GO:0003674,GO:0003824,GO:0005975,GO:0005976,GO:0005977,GO:0005978,GO:0006073,GO:0006091,GO:0006112,GO:0008150,GO:0008152,GO:0009011,GO:0009058,GO:0009059,GO:0009250,GO:0009987,GO:0015980,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0046527,GO:0055114,GO:0071704,GO:1901576",2.4.1.21,ko:K00703,"ko00500,ko01100,ko01110,ko02026,map00500,map01100,map01110,map02026",M00565,R02421,RC00005,"ko00000,ko00001,ko00002,ko01000,ko01003",-,GT5,-,"Glyco_transf_5,Glycos_transf_1"
lp_0024,220668.lp_0024,0,1603,"COG0058@1|root,COG0058@2|Bacteria,1TQAJ@1239|Firmicutes,4H9XI@91061|Bacilli,3F4Z1@33958|Lactobacillaceae",2|Bacteria,G,"Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties",glgP,"GO:0000272,GO:0003674,GO:0003824,GO:0004645,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005975,GO:0005976,GO:0005977,GO:0005980,GO:0006073,GO:0006091,GO:0006112,GO:0008144,GO:0008150,GO:0008152,GO:0008184,GO:0009056,GO:0009057,GO:0009251,GO:0009987,GO:0015980,GO:0016052,GO:0016740,GO:0016757,GO:0016758,GO:0019842,GO:0030170,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044247,GO:0044248,GO:0044260,GO:0044262,GO:0044264,GO:0044275,GO:0044424,GO:0044464,GO:0048037,GO:0050662,GO:0055114,GO:0070279,GO:0071704,GO:0097159,GO:1901363,GO:1901575",2.4.1.1,ko:K00688,"ko00500,ko01100,ko01110,ko02026,ko04217,ko04910,ko04922,ko04931,map00500,map01100,map01110,map02026,map04217,map04910,map04922,map04931",-,R02111,-,"ko00000,ko00001,ko01000",-,GT35,iYO844.BSU30940,Phosphorylase
lp_0025,220668.lp_0025,0,1281,"COG0366@1|root,COG0366@2|Bacteria,1TNZ0@1239|Firmicutes,4HB67@91061|Bacilli,3F41N@33958|Lactobacillaceae",2|Bacteria,G,Belongs to the glycosyl hydrolase 13 family,malQ,-,"2.4.1.25,3.2.1.20,3.2.1.41","ko:K00705,ko:K01187,ko:K01200","ko00052,ko00500,ko01100,ko01110,map00052,map00500,map01100,map01110",-,"R00028,R00801,R00802,R02111,R05196,R06087,R06088","RC00028,RC00049,RC00077","ko00000,ko00001,ko01000",-,"CBM48,GH13,GH31,GH77",-,"Alpha-amylase,Glyco_hydro_77"
lp_0026,220668.lp_0026,2.40E-183,509,"COG0561@1|root,COG0561@2|Bacteria,1TSZZ@1239|Firmicutes,4HB54@91061|Bacilli,3F49K@33958|Lactobacillaceae",2|Bacteria,S,haloacid dehalogenase-like hydrolase,yraE,-,-,-,-,-,-,-,-,-,-,-,Hydrolase_3
lp_0027,220668.lp_0027,1.10E-154,434,"COG0637@1|root,COG0637@2|Bacteria,1UY8N@1239|Firmicutes,4HF3K@91061|Bacilli,3F4ST@33958|Lactobacillaceae",2|Bacteria,S,beta-phosphoglucomutase,pgmB,"GO:0000287,GO:0003674,GO:0003824,GO:0004805,GO:0005488,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0005975,GO:0005984,GO:0005991,GO:0005992,GO:0006793,GO:0006796,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008801,GO:0009058,GO:0009292,GO:0009294,GO:0009311,GO:0009312,GO:0009987,GO:0016020,GO:0016051,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0016853,GO:0016866,GO:0016868,GO:0019203,GO:0030312,GO:0033554,GO:0034637,GO:0040007,GO:0042221,GO:0042578,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044249,GO:0044262,GO:0044424,GO:0044444,GO:0044464,GO:0044764,GO:0046351,GO:0046677,GO:0046872,GO:0050896,GO:0051704,GO:0051716,GO:0071704,GO:0071944,GO:1901576","2.4.1.64,3.1.3.12,3.2.1.28,5.4.2.6","ko:K01087,ko:K01194,ko:K01838,ko:K05342","ko00500,ko01100,map00500,map01100",-,"R00010,R02727,R02728,R02778,R11310","RC00017,RC00049,RC00408","ko00000,ko00001,ko00537,ko01000",-,"GH37,GH65",-,"Glyco_hydro_65C,Glyco_hydro_65N,Glyco_hydro_65m,HAD_2,Hydrolase,Trehalose_PPase"
lp_0028,220668.lp_0028,0,1826,"COG1554@1|root,COG1554@2|Bacteria,1TQMB@1239|Firmicutes,4HD7Z@91061|Bacilli,3F4TB@33958|Lactobacillaceae",2|Bacteria,G,Glycosyl hydrolase family 65 central catalytic domain,trePP,"GO:0003674,GO:0003824,GO:0005575,GO:0005576,GO:0005618,GO:0005623,GO:0005886,GO:0016020,GO:0016787,GO:0030312,GO:0044464,GO:0071944","2.4.1.216,2.4.1.8,3.1.3.12,3.2.1.28","ko:K00691,ko:K01087,ko:K01194,ko:K03731","ko00500,ko01100,map00500,map01100",-,"R00010,R01555,R02778","RC00017,RC00049","ko00000,ko00001,ko00537,ko01000",-,"GH37,GH65",-,"Glyco_hydro_65C,Glyco_hydro_65N,Glyco_hydro_65m,HAD_2,Hydrolase,Trehalose_PPase"
lp_0030,220668.lp_0030,3.21E-104,301,"COG3871@1|root,COG3871@2|Bacteria,1V1KZ@1239|Firmicutes,4I1P9@91061|Bacilli,3F7W7@33958|Lactobacillaceae",2|Bacteria,S,Pyridoxamine 5'-phosphate oxidase,-,-,-,-,-,-,-,-,-,-,-,-,"Putative_PNPOx,Pyrid_ox_like,Zn_ribbon_2"
lp_0031,220668.lp_0031,4.37E-43,140,"COG1278@1|root,COG1278@2|Bacteria,1VEE0@1239|Firmicutes,4IG6G@91061|Bacilli,3F7R5@33958|Lactobacillaceae",2|Bacteria,K,Cold shock protein domain,cspA,-,-,ko:K03704,-,-,-,-,"ko00000,ko03000",-,-,-,CSD
lp_0032,220668.lp_0032,2.54E-50,159,"2CH90@1|root,2ZP4M@2|Bacteria,1W1QU@1239|Firmicutes,4I01G@91061|Bacilli,3F7JH@33958|Lactobacillaceae",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
