Name,p1,p2,p3,m1,m2,m3,accession,Gene,Product
lp_0053,78,154,81,144,130,182,NC_004567.2:50960-51607,YP_004888134.1,fibronectin-binding protein
lp_0054,55,143,94,161,167,187,NC_004567.2:51804-52637,YP_004888135.1,hypothetical protein
lp_0055,59,111,64,106,71,132,NC_004567.2:52791-55160,YP_004888136.1,fumarate reductase%2C flavoprotein subunit
lp_0056,13,20,16,25,27,36,NC_004567.2:55625-57040,YP_004888137.1,divalent anion:sodium (Na+) symporter%2C DASS family
lp_0057,99,196,85,130,177,175,NC_004567.2:57150-58037,YP_004888138.1,LysR family transcriptional regulator
lp_0058,193,321,172,258,325,372,NC_004567.2:58107-58532,YP_004888139.1,flavoprotein
lp_0059,25,45,39,33,41,58,NC_004567.2:58868-59293,YP_004888140.1,arsenate reductase
lp_0060,3,11,4,5,9,7,NC_004567.2:59613-60473,YP_004888141.1,short-chain dehydrogenase
lp_0061,24,38,20,43,47,46,NC_004567.2:60505-61350,YP_004888142.1,acetoacetate decarboxylase
lp_0062,29,34,27,30,28,54,NC_004567.2:61378-62031,YP_004888143.1,nitroreductase family protein
lp_0063,103,214,103,169,180,245,NC_004567.2:62200-63735,YP_004888144.1,hypothetical protein
lp_0066,596,1164,779,968,1170,1424,NC_004567.2:64066-64737,YP_004888145.1,beta-phosphoglucomutase
lp_0067,198,345,195,237,336,375,NC_004567.2:64823-65839,YP_004888146.1,penicillin V acylase family protein
lp_0068,372,719,353,549,757,739,NC_004567.2:66113-67456,YP_004888147.1,membrane protein
lp_0069,67,124,59,110,102,149,NC_004567.2:67605-68351,YP_004888148.1,protein-tyrosine phosphatase
lp_0070,154,253,154,205,191,244,NC_004567.2:68424-69671,YP_004888149.1,4-hydroxyphenylacetate-3-hydroxylase%2CC-terminus (pseudogene)
lp_0071,27,53,26,34,41,50,NC_004567.2:69747-69860,YP_004888150.1,4-hydroxyphenylacetate-3-hydroxylase%2CN-terminus (pseudogene)
lp_0072,39,86,54,52,65,66,NC_004567.2:69943-70392,YP_004888151.1,RNA-binding protein%2C ASCH domain
lp_0073,127,213,105,223,184,232,NC_004567.2:70536-71204,YP_004888152.1,glutamine amidotransferase
lp_0074,118,200,122,160,162,193,NC_004567.2:71292-72212,YP_004888153.1,DeoR family transcriptional regulator
lp_0075,16,31,12,28,26,35,NC_004567.2:72330-72977,YP_004888154.1,FMN-dependent NADH-azoreductase
lp_0076,197,334,181,244,270,314,NC_004567.2:73239-75257,YP_004888155.1,elongation factor G
lp_0077,71,121,61,74,87,133,NC_004567.2:75275-75961,YP_004888156.1,hypothetical protein
lp_0078,69,119,66,85,135,139,NC_004567.2:75967-76851,YP_004888157.1,permease%2C drug/metabolite transporter (DMT) superfamily
lp_0080,57,107,49,71,93,105,NC_004567.2:77039-77530,YP_004888158.1,GNAT family acetyltransferase
lp_0081,94,166,71,155,136,158,NC_004567.2:77561-78235,YP_004888159.1,ThiJ/PfpI family protein%2C Type 1 glutamine amidotransferase (GATase1)-like domain
lp_0082,45,89,55,77,81,85,NC_004567.2:78281-79285,YP_004888160.1,medium chain dehydrogenases/reductase (MDR)/zinc-dependent alcohol dehydrogenase-like family protein
lp_0083,71,106,57,116,112,152,NC_004567.2:79452-79775,YP_004888161.1,ArsR family transcriptional regulator
lp_0085,151,291,157,214,249,317,NC_004567.2:79946-81280,YP_004888162.1,multidrug extrusion protein (Na(+)/drug antiporter)%2C MATE family of MDR efflux pumps
lp_0088,90,169,75,137,117,154,NC_004567.2:82652-83515,YP_004888163.1,prolyl aminopeptidase
lp_0089,168,284,157,270,289,334,NC_004567.2:83697-84443,YP_004888164.1,hypothetical protein
lp_0091,320,609,296,541,606,927,NC_004567.2:84613-85047,YP_004888165.1,pyridoxamine 5'-phosphate oxidase family protein%2C FMN-binding
lp_0092,123,235,159,225,248,270,NC_004567.2:85149-86792,YP_004888166.1,oligopeptide ABC transporter%2Clipoprotein-binding protein
lp_0096,45,101,48,77,113,97,NC_004567.2:87460-88209,YP_004888167.1,hypothetical protein
lp_0098,57,98,59,96,88,107,NC_004567.2:88467-89246,YP_004888168.1,adenylyl transferase
lp_0099,149,314,143,223,244,232,NC_004567.2:89314-89547,YP_004888169.1,hypothetical protein
lp_0100,250,398,202,313,253,320,NC_004567.2:89568-90293,YP_004888170.1,cobalt ABC transporter ATP-binding protein
lp_0101,87,107,83,91,100,112,NC_004567.2:90301-91122,YP_004888171.1,cobalt ABC transporter permease
lp_0102,117,181,87,103,115,167,NC_004567.2:91097-92083,YP_004888172.1,cobalt ABC transporter%2C substrate-binding protein
lp_0103,90,123,67,94,116,130,NC_004567.2:92098-92763,YP_004888173.1,Crp/FNR family transcriptional regulator
lp_0104,5,19,8,4,22,25,NC_004567.2:93016-94290,YP_004888174.1,lactate racemization operon protein LarA
lp_0105,9,13,12,9,13,12,NC_004567.2:94292-95032,YP_004888175.1,lactate racemization operon protein LarB
lp_0106,7,10,6,10,15,18,NC_004567.2:95063-95854,YP_004888176.1,lactate racemization operon protein LarC%2CN-terminal domain
lp_0107,3,17,4,7,4,5,NC_004567.2:95893-96324,YP_004888177.1,lactate racemization operon protein LarC%2CC-terminal domain
lp_0108,13,18,9,18,17,12,NC_004567.2:96329-97045,YP_004888178.1,glycerol uptake facilitator protein
lp_0109,65,95,51,93,70,79,NC_004567.2:97070-97900,YP_004888179.1,lactate racemization operon protein LarE
lp_0111,223,402,215,323,404,403,NC_004567.2:98100-99077,YP_004888180.1,medium chain dehydrogenases/reductase (MDR)/zinc-dependent alcohol dehydrogenase-like family protein
lp_0113,67,110,63,82,67,88,NC_004567.2:99433-100224,YP_004888181.1,hydroxyethylthiazole kinase
lp_0114,90,161,60,140,137,147,NC_004567.2:100250-101074,YP_004888182.1,phosphomethylpyrimidine kinase %26 hydroxymethylpyrimidine kinase
lp_0115,69,131,58,87,101,116,NC_004567.2:101064-101717,YP_004888183.1,thiamine-phosphate pyrophosphorylase
lp_0116,167,288,144,207,230,226,NC_004567.2:101717-102916,YP_004888184.1,hydroxymethylpyrimidine permease
lp_0117,301,557,283,556,622,762,NC_004567.2:102998-103738,YP_004888185.1,glutamine amidotransferase
lp_0118,395,608,304,469,454,620,NC_004567.2:103981-105573,YP_004888186.1,DNA-binding protein with HIRAN domain
lp_0119,126,250,125,210,197,278,NC_004567.2:105689-106159,YP_004888187.1,NTP pyrophosphohydrolase
lp_0120,815,1386,722,984,1208,1262,NC_004567.2:106392-107756,YP_004888188.1,amino acid/polyamine transport protein%2C APC family
lp_0121,117,225,136,155,173,212,NC_004567.2:107856-108563,YP_004888189.1,hypothetical protein
lp_0122,185,266,167,219,234,302,NC_004567.2:108588-109370,YP_004888190.1,alpha-beta hydrolase superfamily
lp_0124,1441,2005,1234,1741,1811,2027,NC_004567.2:109566-112304,YP_004888191.1,cation transporting P-type ATPase
lp_0125,268,382,225,384,380,446,NC_004567.2:112589-113347,YP_004888192.1,purine nucleoside phosphorylase
lp_0126,605,1639,497,1490,1839,1899,NC_004567.2:113390-113584,YP_004888193.1,stress-responsive transcription regulator
lp_0127,69,119,69,140,149,164,NC_004567.2:113650-114252,YP_004888194.1,NADPH-dependent FMN reductase family protein
lp_0128,54,78,79,87,95,127,NC_004567.2:114365-114838,YP_004888195.1,MarR family transcriptional regulator
lp_0129,710,1115,792,1512,1248,1939,NC_004567.2:114984-115406,YP_004888196.1,small heat shock protein
lp_0130,8,7,5,5,12,9,NC_004567.2:115494-115949,YP_004888197.1,two-component system sensor protein
lp_0131,9,6,8,15,7,11,NC_004567.2:115946-116452,YP_004888198.1,two-component system response regulator
lp_0132,171,311,176,220,269,305,NC_004567.2:116619-117851,YP_004888199.1,multidrug-efflux transporter%2C major facilitator superfamily (MFS)
lp_0133,24,88,35,74,89,108,NC_004567.2:117876-118241,YP_004888200.1,ArsR family transcriptional regulator
lp_0134,197,360,158,387,420,534,NC_004567.2:118306-119499,YP_004888201.1,transport protein%2C major facilitator superfamily (MFS)
lp_0136,28,59,23,45,57,68,NC_004567.2:119743-120591,YP_004888202.1,2%2C5 diketo-D-gluconic acid-like reductase%2CNADP dependent%2C promiscuous
lp_0137,724,1235,603,1076,1308,1584,NC_004567.2:120668-121540,YP_004888203.1,aldo/keto reductase family protein
lp_0138,242,386,222,349,387,452,NC_004567.2:121661-122116,YP_004888204.1,nucleoside 2-deoxyribosyltransferase
lp_0139,2312,3824,2251,3910,4232,5084,NC_004567.2:122436-124130,YP_004888205.1,linoleic acid isomerase
lp_0141,18,27,17,33,36,47,NC_004567.2:124302-125114,YP_004888206.1,extracellular protein
lp_0145,190,305,181,268,195,318,NC_004567.2:125380-126897,YP_004888207.1,hypothetical protein
lp_0146,184,271,146,215,202,223,NC_004567.2:126966-128075,YP_004888208.1,NADH:flavin oxidoreductase
lp_0148,218,396,208,290,339,378,NC_004567.2:128326-129165,YP_004888209.1,cobalt (or cobalamine) ABC transporter%2Cpermease protein
lp_0149,634,936,553,850,837,897,NC_004567.2:129167-130867,YP_004888210.1,cobalt (or cobalamine) ABC transporter ATP-binding protein
lp_0150,104,218,86,153,161,170,NC_004567.2:130872-131432,YP_004888211.1,cobalt (or cobalamine) ABC transporter%2Caccessory protein
lp_0152,250,516,296,456,531,649,NC_004567.2:132040-132756,YP_004888212.1,GntR family transcriptional regulator
lp_0154,21,74,27,51,72,81,NC_004567.2:132901-133230,YP_004888213.1,PadR family transcriptional regulator
lp_0155,23,91,21,44,45,49,NC_004567.2:133259-134044,YP_004888214.1,hypothetical protein
lp_0156,33,71,21,70,57,86,NC_004567.2:134069-134881,YP_004888215.1,hypothetical protein
lp_0158,135,261,122,173,196,243,NC_004567.2:135213-135704,YP_004888216.1,hypothetical protein
lp_0159,219,408,180,397,427,481,NC_004567.2:135873-136667,YP_004888217.1,short-chain dehydrogenase
lp_0160,50,83,49,125,127,200,NC_004567.2:136930-137847,YP_004888218.1,ABC transporter ATP-binding protein
lp_0161,79,124,71,226,268,229,NC_004567.2:137853-139469,YP_004888219.1,ABC transporter permease
lp_0162,109,249,109,188,228,224,NC_004567.2:139488-140150,YP_004888220.1,TetR family transcriptional regulator
lp_0163,525,913,495,707,696,928,NC_004567.2:140318-141859,YP_004888221.1,acyl-CoA dehydrogenase
lp_0164,181,312,157,273,290,345,NC_004567.2:142032-142544,YP_004888222.1,membrane protein
lp_0165,129,198,108,172,187,208,NC_004567.2:142774-143292,YP_004888223.1,TetR family transcriptional regulator
lp_0166,206,330,182,244,238,311,NC_004567.2:143289-144278,YP_004888224.1,dihydroxyacetone phosphotransferase%2Cdihydroxyacetone binding sub-unit
lp_0168,841,1340,750,1391,1293,1653,NC_004567.2:144440-145438,YP_004888225.1,dihydroxyacetone phosphotransferase%2Cdihydroxyacetone binding subunit
lp_0169,289,478,276,451,520,636,NC_004567.2:145452-146033,YP_004888226.1,dihydroxyacetone phosphotransferase%2CADP-binding subunit
lp_0170,212,322,191,325,398,439,NC_004567.2:146030-146398,YP_004888227.1,dihydroxyacetone phosphotransferase%2C phosphoryl donor protein
lp_0171,325,556,328,537,685,748,NC_004567.2:146413-147120,YP_004888228.1,dihydroxyacetone transport protein
lp_0172,276,587,325,448,512,742,NC_004567.2:147271-148290,YP_004888229.1,LacI family transcriptional regulator%2Cmaltose-related
lp_0173,261,422,274,382,452,512,NC_004567.2:148314-149276,YP_004888230.1,LacI family transcriptional regulator
lp_0174,425,659,396,591,668,798,NC_004567.2:149293-150966,YP_004888231.1,maltase/sucrase
lp_0175,1316,2434,1378,1935,2274,2553,NC_004567.2:151222-152475,YP_004888232.1,maltodextrin ABC transporter%2C substrate binding protein
lp_0176,158,304,140,233,298,276,NC_004567.2:152585-153874,YP_004888233.1,maltodextrin ABC transporter%2C permease protein
lp_0177,129,212,100,200,257,245,NC_004567.2:153879-154763,YP_004888234.1,maltodextrin ABC transporter%2C permease protein
lp_0178,80,143,71,158,177,170,NC_004567.2:154791-155621,YP_004888235.1,maltodextrin ABC transporter%2C accessory protein
lp_0179,117,246,139,245,310,256,NC_004567.2:155655-156977,YP_004888236.1,alpha-amylase%2C maltodextrins and cyclomaltodextrins
lp_0180,123,211,99,202,291,270,NC_004567.2:157079-158185,YP_004888237.1,maltodextrin ABC transporter%2C ATP-binding protein
lp_0181,355,666,299,710,830,814,NC_004567.2:158212-160482,YP_004888238.1,maltose phosphorylase
lp_0182,91,136,71,98,130,142,NC_004567.2:160696-163542,YP_004888239.1,endo-beta-N-acetylglucosaminidase
lp_0183,2278,4716,2293,3712,3800,4629,NC_004567.2:164129-164401,YP_004888240.1,membrane protein
lp_0184,145,207,141,210,208,289,NC_004567.2:164479-165345,YP_004888241.1,fructokinase
lp_0185,88,124,87,113,80,137,NC_004567.2:165479-167434,YP_004888242.1,PTS system%2C oligosucrose-specific EIIBCA component
lp_0187,44,64,41,72,66,77,NC_004567.2:167690-169195,YP_004888243.1,sucrose-6-phosphate hydrolase
lp_0188,77,128,81,103,117,104,NC_004567.2:169176-170156,YP_004888244.1,oligosucrose operon repressor
lp_0189,168,255,152,180,187,253,NC_004567.2:170177-171853,YP_004888245.1,raffinose-6-phosphate hydrolase %26 stachyose-6-phosphate hydrolase
lp_0190,110,228,141,185,183,251,NC_004567.2:172010-172924,YP_004888246.1,medium chain dehydrogenases/reductase (MDR)/zinc-dependent alcohol dehydrogenase-like family protein
lp_0192,109,175,113,146,186,195,NC_004567.2:173145-174545,YP_004888247.1,tyrosine-related transport protein%2C NHAC family
lp_0193,82,131,68,102,147,130,NC_004567.2:175091-176764,YP_004888248.1,exo alfa-1%2C4-glucosidase or trehalase
lp_0194,57,118,63,87,77,132,NC_004567.2:176964-177878,YP_004888249.1,LysR family transcriptional regulator
lp_0197,901,1808,832,1376,1814,1714,NC_004567.2:178865-181885,YP_004888250.1,cell surface protein precursor%2C LPXTG-motif cell wall anchor
lp_0199,190,328,203,247,297,342,NC_004567.2:182176-183018,YP_004888251.1,Xre family transcriptional regulator
lp_0200,66,127,53,91,67,92,NC_004567.2:183206-184867,YP_004888252.1,ABC transporter substrate-binding protein
lp_0201,18,43,23,25,37,45,NC_004567.2:185073-186734,YP_004888253.1,ABC transporter substrate-binding protein
lp_0202,35,70,32,51,24,45,NC_004567.2:186887-187330,YP_004888254.1,GNAT family acetyltransferase
lp_0203,85,131,79,89,103,104,NC_004567.2:187327-188505,YP_004888255.1,D-3-phosphoglycerate dehydrogenase
lp_0204,75,134,54,73,73,86,NC_004567.2:188521-189594,YP_004888256.1,phosphoserine aminotransferase
lp_0205,105,182,88,129,122,152,NC_004567.2:189978-190601,YP_004888257.1,phosphoglycerate mutase family protein
lp_0206,1312,2485,1372,2480,2600,3447,NC_004567.2:190862-191653,YP_004888258.1,oxidoreductase%2C aldo/keto reductase family
lp_0207,155,301,143,271,283,316,NC_004567.2:192154-192375,YP_004888259.1,hypothetical protein
lp_0208,134,240,167,259,225,316,NC_004567.2:192378-192728,YP_004888260.1,hypothetical protein
lp_0209,199,316,149,303,295,289,NC_004567.2:192715-193587,YP_004888261.1,RNA-binding protein
lp_0210,424,719,393,511,567,639,NC_004567.2:193763-194950,YP_004888262.1,acetate kinase
lp_0213,100,159,114,124,115,178,NC_004567.2:195399-195749,YP_004888263.1,chromosome condensation protein
lp_0214,66,153,51,104,113,137,NC_004567.2:195749-196132,YP_004888264.1,chromosome condensation protein
lp_0215,121,189,124,146,160,195,NC_004567.2:196433-197953,YP_004888265.1,ABC transporter ATP-binding protein
lp_0216,2,1,0,2,0,2,NC_004567.2:198163-199815,YP_004888266.1,transposase
lp_0217,57,66,40,61,58,69,NC_004567.2:199844-200503,YP_004888267.1,ABC transporter permease
lp_0218,125,207,127,124,146,165,NC_004567.2:200500-201906,YP_004888268.1,ABC transporter ATP-binding protein
lp_0219,47,63,34,47,63,77,NC_004567.2:201935-202504,YP_004888269.1,ABC transporter permease
lp_0220,184,408,183,371,378,513,NC_004567.2:202845-203330,YP_004888270.1,glutathione peroxidase
lp_0221,514,1006,564,944,1148,1338,NC_004567.2:203381-204211,YP_004888271.1,2%2C5 diketo-D-gluconic acid-like reductase%2CNADP dependent (promiscuous)
lp_0223,239,377,216,342,335,433,NC_004567.2:204715-205185,YP_004888272.1,transcription elongation factor GreA
lp_0224,72,99,68,103,136,141,NC_004567.2:205271-205684,YP_004888273.1,membrane protein
lp_0225,32,41,20,46,58,69,NC_004567.2:205697-205900,YP_004888274.1,Cro/CI family transcriptional regulator
lp_0226,426,750,525,780,794,991,NC_004567.2:206280-206993,YP_004888275.1,glucosamine-6-phosphate isomerase/deaminase
lp_0228,851,1162,704,1085,1183,1380,NC_004567.2:207136-208551,YP_004888276.1,dipeptidase
lp_0230,821,1622,975,1553,1894,2284,NC_004567.2:208913-210751,YP_004888277.1,PTS system%2C mannitol-specific EIICB component
lp_0231,332,588,337,505,609,610,NC_004567.2:210788-212863,YP_004888278.1,BglG family transcriptional regulator
lp_0232,73,136,68,144,176,168,NC_004567.2:212878-213327,YP_004888279.1,PTS system%2C mannitol-specific EIIA component
lp_0233,415,743,431,769,842,1040,NC_004567.2:213329-214486,YP_004888280.1,mannitol-1-phosphate 5-dehydrogenase
lp_0235,330,465,285,379,364,470,NC_004567.2:214742-215293,YP_004888281.1,hypothetical protein
lp_0236,220,500,238,349,379,471,NC_004567.2:215474-215806,YP_004888282.1,thioredoxin
lp_0237,24,55,22,45,51,41,NC_004567.2:215900-216226,YP_004888283.1,membrane protein
lp_0239,24,47,21,39,33,66,NC_004567.2:216517-217071,YP_004888284.1,hypothetical protein
lp_0240,52,63,44,62,71,105,NC_004567.2:217136-217537,YP_004888285.1,hypothetical protein
lp_0242,326,611,303,457,502,709,NC_004567.2:217779-218243,YP_004888286.1,nucleoside-diphosphate kinase
lp_0243,671,1104,625,1055,1176,1238,NC_004567.2:218478-219824,YP_004888287.1,hypothetical protein
lp_0244,168,333,160,197,269,328,NC_004567.2:220124-220672,YP_004888288.1,NADPH-dependent FMN reductase family protein
lp_0245,37,79,38,55,51,74,NC_004567.2:220941-221636,YP_004888289.1,GntR family transcriptional regulator
lp_0247,123,257,147,139,189,188,NC_004567.2:222214-223491,YP_004888290.1,PTS system%2C cellobiose-specific EIIC component
lp_0248,11,29,7,17,13,18,NC_004567.2:223501-223767,YP_004888291.1,hypothetical protein
lp_0249,52,109,44,71,74,80,NC_004567.2:223764-224858,YP_004888292.1,PTS-associated protein
lp_0250,54,114,55,89,76,95,NC_004567.2:224851-225969,YP_004888293.1,metallo-dependent hydrolase%2C subgroup B
lp_0251,49,88,50,73,70,75,NC_004567.2:226039-227139,YP_004888294.1,L-seryl-tRNA(Sec) selenium transferase-related protein%2C pyridoxal phosphate-dependent
lp_0252,52,93,41,39,45,47,NC_004567.2:227130-227864,YP_004888295.1,hypothetical protein
lp_0253,53,116,67,83,97,80,NC_004567.2:227878-228900,YP_004888296.1,2-keto-3-deoxygluconate kinase
lp_0254,584,874,532,608,524,630,NC_004567.2:229064-229606,YP_004888297.1,serine O-acetyltransferase
lp_0255,1187,1998,1239,1315,1375,1432,NC_004567.2:229611-230756,YP_004888298.1,cystathionine beta-lyase / cystathionine gamma-lyase
lp_0256,790,1380,922,862,852,953,NC_004567.2:230768-231679,YP_004888299.1,cystathionine beta-synthase
lp_0257,1094,1915,980,1372,1489,1691,NC_004567.2:232292-233083,YP_004888300.1,methionyl aminopeptidase
lp_0259,178,265,144,161,151,190,NC_004567.2:233445-234233,YP_004888301.1,nicotinamide mononucleotide transporter
lp_0260,21,42,17,45,45,74,NC_004567.2:234432-234710,YP_004888302.1,hypothetical protein
lp_0261,25,77,25,56,90,114,NC_004567.2:234703-234990,YP_004888303.1,membrane protein
lp_0262,84,103,67,122,148,208,NC_004567.2:235306-236025,YP_004888304.1,trehalose operon transcriptional repressor%2CGntR family
lp_0263,129,217,136,237,223,334,NC_004567.2:236050-237693,YP_004888305.1,trehalose-6-phosphate hydrolase
lp_0264,173,259,222,252,263,350,NC_004567.2:237710-239707,YP_004888306.1,PTS system trehalose-specific transporter subunit IIBC
lp_0265,117,187,115,146,184,191,NC_004567.2:239936-241897,YP_004888307.1,PTS system trehalose-specific transporter subunit IIBC
lp_0266,221,346,213,318,330,386,NC_004567.2:241939-242721,YP_004888308.1,hypothetical protein
lp_0267,1073,1878,991,1514,1663,2005,NC_004567.2:243093-243497,YP_004888309.1,glycerol-3-phosphate cytidylyltransferase
lp_0268,2542,4494,2505,3303,3808,4329,NC_004567.2:243522-244730,YP_004888310.1,CDP-glycerol glycerophosphotransferase
lp_0269,4607,8601,4967,6396,8150,9322,NC_004567.2:244783-247602,YP_004888311.1,CDP-glycerol glycerophosphotransferase / glycosyltransferase
lp_0271,39,57,25,36,33,46,NC_004567.2:247890-248453,YP_004888312.1,aromatic acid carboxylyase%2C subunit B
lp_0272,25,46,21,31,29,40,NC_004567.2:248456-248866,YP_004888313.1,aromatic acid carboxylyase%2C subunit D
lp_0273,26,39,21,27,30,40,NC_004567.2:249157-249597,YP_004888314.1,Rrf2 family transcriptional regulator
lp_0274,53,76,46,68,67,67,NC_004567.2:249782-250471,YP_004888315.1,TetR family transcriptional regulator
lp_0275,532,906,494,723,710,867,NC_004567.2:250642-252036,YP_004888316.1,manganese transport protein MntH%2C Nramp superfamily
lp_0276,7,8,2,14,11,12,NC_004567.2:252168-252815,YP_004888317.1,hypothetical protein
lp_0277,4,3,3,5,5,6,NC_004567.2:252871-253176,YP_004888318.1,extracellular protein
lp_0279,2,6,0,3,3,3,NC_004567.2:253217-253468,YP_004888319.1,hypothetical protein
lp_0280,15,34,14,35,33,31,NC_004567.2:253769-255169,YP_004888320.1,transport protein%2C major facilitator superfamily (MFS)
lp_0281,87,179,108,167,160,245,NC_004567.2:255261-255653,YP_004888321.1,MerR family transcriptional regulator
lp_0282,179,261,158,238,250,303,NC_004567.2:255805-257181,YP_004888322.1,two-component system histidine protein kinase%3B sensor protein
lp_0283,78,139,71,104,107,126,NC_004567.2:257168-257872,YP_004888323.1,two-component system response regulator
lp_0284,90,184,86,137,132,150,NC_004567.2:258029-258325,YP_004888324.1,hypothetical protein
lp_0285,354,566,324,477,500,513,NC_004567.2:258406-259137,YP_004888325.1,RpiR family transcriptional regulator
lp_0286,2215,3576,2171,2387,3244,3551,NC_004567.2:259439-260764,YP_004888326.1,PTS system%2C cellobiose-specific EIIC component
lp_0287,147,229,130,250,200,281,NC_004567.2:260917-261228,YP_004888327.1,hypothetical protein
lp_0289,7,6,5,7,12,14,NC_004567.2:261457-261711,YP_004888328.1,hypothetical protein
